branchID,uniID,location,address
B0119,U0087,Kuala Terengganu,null
B0120,U0088,Petaling Jaya,null
B0121,U0089,Cyberjaya,null
B0122,U0090,Jalan Sultan Ismail,null
B0123,U0091,Bestari Jaya,null
B0124,U0091,Shah Alam,null
B0125,U0092,Sibu,null
B0126,U0093,Kuala Ketil,null
B0127,U0094,"Cheras, Kuala Lumpur",null
B0128,U0095,Kuala Kangsar,null
B0129,U0096,Seri Iskandar,null
B0130,U0097,Putrajaya,null
B0131,U0098,Kampar,null
B0132,U0098,Sungai Long,null
B0133,U0099,Cyberjaya,null
B0134,U0100,Semenyih,null
B0135,U0101,Iskandar Puteri,null
B0136,U0102,Iskandar Puteri,null
B0137,U0103,Shah Alam,null
B0138,U0103,Damansara Jaya,null
B0139,U0103,George Town,null
B0140,U0103,Batu Kawan,null
B0141,U0104,George Town,null
B0142,U0105,Cyberjaya,null
B0143,U0106,Salak Tinggi,null
B0144,U0107,Terengganu,null
B0145,U0108,Pudu,null
B0146,U0109,Bandar Utama,null
B0147,U0110,George Town,null
B0148,U0111,Petaling Jaya,null
B0149,U0112,Bangi,null
B0150,U0113,Malacca,null
B0151,U0114,Jalan Raja Laut,null
B0152,U0114,Setapak,null
B0153,U0115,Petaling Jaya,null
B0154,U0116,Mantin,null
B0155,U0117,Kajang,null
B0156,U0118,Skudai,null
B0157,U0119,Bandar Sri Damansara,null
B0158,U0119,Kota Bharu,null
B0159,U0120,Kuantan,null
B0160,U0121,Kota Kinabalu,null
B0161,U0122,Kota Kinabalu,null
